Data Through Date,Project ID,Interconnection Date,Utility,City/Town,County,ZIP Code,Division,Substation,Circuit ID,Storage Type,Developer,Metering Method,Energy Storage System Size (kWac),Georeference
12/31/2025,SDG-34580,12/09/2021,Con Ed,Hartsdale,Westchester,10530,CENY-W,Elmsford No. 2,106U2,Battery,Sunrun Inc,NM,3.8,POINT (-73.79618 41.0126)
12/31/2025,25289,06/16/2025,NYSEG,East Jewett,Greene,12424,Oneonta,NYS-WINDHAM 239,2308239,Battery,Vladislav  Ipovich,NM,24,POINT (-74.14578 42.23743)
12/31/2025,SDG-02683,11/09/2017,Con Ed,Yorktown Heights,Westchester,10598,CENY-W,Millwood West,7W44,Battery,SolarCity,NM,15,POINT (-73.78311 41.26851)
12/31/2025,DGINT-16527,10/29/2025,O&R,POMONA,Rockland,10970,EAST,West Haverstraw,27-6-13,Battery,Tesla Energy Operations Inc,NM,23,POINT (-74.0565 41.18338)
12/31/2025,PAM-2020-85899,06/25/2021,PSEGLI,Hauppauge,Suffolk,11788,,1013,6793,Battery,TESLA,NM,15,POINT (-73.20342 40.82523)
12/31/2025,410125,03/05/2022,National Grid,Saratoga Springs,Saratoga,12866,039 - Saratoga,MALTA 443,36_39_44356,Battery,Sara Hildebrand (Solar City DBA Tesla Energy),NM,5,POINT (-73.78441 43.08412)
12/31/2025,DGINT-13143,07/11/2023,O&R,WARWICK,Orange,10990,CENTRAL,Wisner,80-3-13,Battery,Sunrun Inc,NM,6,POINT (-74.35825 41.25848)
12/31/2025,PAM-2020-84686,09/09/2021,PSEGLI,Albertson,Nassau,11507,,457,9868,Battery,TESLA,NM,10,POINT (-73.64884 40.77131)
12/31/2025,617566,07/25/2024,National Grid,Cambridge,Washington,12816,039-Saratoga,UNION ST 376,36_39_37652,Battery,Toni Haviland (PlugPV),NM,10,POINT (-73.38418 43.02814)
12/31/2025,PAM-2021-153165,01/12/2022,PSEGLI,WOODBURY,Nassau,11797,,866,6151,Battery,"EmPower CES, LLC",NM,10,POINT (-73.45301 40.81953)
12/31/2025,PAM-2025-390753,10/28/2025,PSEGLI,ALBERTSON,Nassau,11507,,457,9868,Battery,"Tesla, Inc.",NM,11.5,POINT (-73.64884 40.77131)
12/31/2025,PAM-2017-48953,04/09/2018,PSEGLI,Islip,Suffolk,11751,,3137,31,Battery,Solar City DBA Tesla,NM,10,POINT (-73.218 40.72817)
12/31/2025,SDG-82990,03/17/2025,Con Ed,Ossining,Westchester,10562,CENY-W,Millwood West,7W44,Battery,Tesla,NM,10,POINT (-73.86074 41.16349)
12/31/2025,PAM-2024-380616,08/08/2024,PSEGLI,MASSAPEQUA,Nassau,11758,,461,6848,Battery,SUNation Solar Systems Inc.,NM,5,POINT (-73.46519 40.6923)
12/31/2025,SDG-70322,06/06/2024,Con Ed,White Plains,Westchester,10606,CENY-W,White Plains,8W84,Battery,Sunrun Inc,NM,5,POINT (-73.77537 41.02159)
12/31/2025,DGINT-12551,11/22/2022,O&R,GOSHEN,Orange,10924,CENTRAL,South Goshen,89-2-13,Battery,SolarCity,NM,12.6,POINT (-74.31657 41.40683)
12/31/2025,20780,02/22/2023,NYSEG,SPENCER,Tioga,14883,Ithaca,NYS-CRUM TOWN 530,4306201,Battery,Fingerlakes Renewable,NM,15,POINT (-76.49247 42.21377)
